'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01006_-15.0_Oct30_14.29.58.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01007_-15.0_Oct30_14.30.07.tif', 'Unclear', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01008_-15.0_Oct30_14.30.17.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01009_-15.0_Oct30_14.30.27.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01010_-15.0_Oct30_14.30.36.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01011_-15.0_Oct30_14.30.46.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01012_-15.0_Oct30_14.30.55.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01013_-15.0_Oct30_14.31.04.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01017_-15.0_Oct30_14.31.41.tif', 'Edge of lamella', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01021_-15.0_Oct30_14.32.19.tif', 'Partial vacuum', 'correct'
